iter	MultiClass
0	1.586919359
1	1.563358996
2	1.537787606
3	1.519421531
4	1.501452199
5	1.48163244
6	1.46476352
7	1.455137894
8	1.437757827
9	1.425124535
10	1.412317583
11	1.402060827
12	1.385359493
13	1.378501296
14	1.366938264
15	1.358269188
16	1.344132419
17	1.327538648
18	1.318486985
19	1.308733915
20	1.299144636
21	1.289950334
22	1.28071207
23	1.274969446
24	1.271535915
25	1.259266831
26	1.254395462
27	1.245659944
28	1.236165371
29	1.226764979
30	1.218032885
31	1.211671052
32	1.206543142
33	1.197825705
34	1.1889208
35	1.180897139
36	1.175316948
37	1.167548855
38	1.159495697
39	1.153506953
40	1.149162471
41	1.143808826
42	1.136436743
43	1.132886684
44	1.125378386
45	1.119200832
46	1.115468351
47	1.11097487
48	1.102713207
49	1.095651591
50	1.091534868
51	1.083182227
52	1.077540695
53	1.072701579
54	1.066329435
55	1.060804007
56	1.055675023
57	1.051038336
58	1.044361322
59	1.03785297
60	1.034788493
61	1.033152423
62	1.02957386
63	1.023725739
