iter	Passed	Remaining
0	9212	9203575
1	18924	9443252
2	28348	9420994
3	38066	9478660
4	48407	9633068
5	58256	9651209
6	68135	9665455
7	77406	9598421
8	87358	9619115
9	97256	9628399
10	107175	9636007
11	116868	9622187
12	126802	9627245
13	136649	9624030
14	146431	9615670
15	156150	9603284
16	166253	9613348
17	175722	9586647
18	185312	9567991
19	194949	9552545
20	205831	9595681
21	216514	9625057
22	227001	9642643
23	237100	9642070
24	246820	9626013
25	256858	9622303
26	266455	9602255
27	276601	9602009
28	290920	9740822
29	305309	9871672
30	318569	9957860
31	331758	10035683
32	345327	10119133
33	358702	10191375
34	371107	10231968
35	384599	10298714
36	396462	10318752
37	409098	10356647
38	420871	10370695
39	430927	10342261
40	440543	10304426
41	450681	10279836
42	461210	10264612
43	471098	10235683
44	480156	10189987
45	489793	10157894
46	499261	10123328
47	509165	10098441
48	519359	10079819
49	528952	10050092
50	538327	10017121
51	548128	9992812
52	558351	9976574
53	569020	9968395
54	579267	9952865
55	591060	9963587
56	603241	9979941
57	614841	9985866
58	628728	10027679
59	643380	10079632
60	658726	10140071
61	671285	10155897
62	682791	10155168
63	697104	10195157
